"","v2clacjstw","v2clacjstm","v2clkill","v2cltort"
"1",-0.874,-1.116,0.305,-1.599
"2",-0.874,-1.116,0.305,-1.599
"3",-0.874,-1.116,0.305,-1.599
"4",-0.874,-1.116,0.305,-1.599
"5",-0.874,-1.116,0.305,-1.599
"6",-0.874,-1.116,0.305,-1.599
"7",-0.874,-1.116,0.305,-1.599
"8",-0.874,-1.116,0.305,-1.599
"9",-0.874,-1.116,0.305,-1.599
"10",-0.874,-1.116,0.305,-1.599
"11",-0.874,-1.116,0.305,-1.599
"12",-0.874,-1.116,0.305,-1.599
"13",-0.874,-1.116,0.305,-1.599
"14",-0.874,-1.116,0.305,-1.599
"15",-0.874,-1.116,0.305,-1.599
"16",-0.874,-1.116,0.305,-1.599
"17",-0.874,-1.116,0.305,-1.599
"18",-0.874,-1.116,0.305,-1.599
"19",-0.874,-1.116,0.305,-1.599
"20",-0.874,-1.116,0.305,-1.599
"21",-0.874,-1.116,0.305,0.395
"22",-0.874,-1.116,0.305,-0.274
"23",-0.874,-1.116,0.305,-0.274
"24",-0.874,-1.116,0.305,-0.274
"25",-0.874,-1.116,0.305,-0.274
"26",-0.874,-1.116,0.305,-0.274
"27",-0.874,-1.116,0.305,-0.274
"28",-0.874,-1.116,0.305,-0.884
"29",-0.874,-1.116,0.305,-0.884
"30",-0.874,-1.116,0.305,-0.884
"31",-0.874,-1.116,0.305,-0.884
"32",-0.874,-1.116,0.305,-1.253
"33",-1.043,-1.181,0.305,-1.253
"34",-1.043,-1.181,0.305,-1.253
"35",-1.043,-1.181,0.305,-1.253
"36",-1.043,-1.181,0.305,-1.253
"37",-1.043,-1.181,0.305,-1.253
"38",-1.043,-1.181,0.305,-1.253
"39",-1.043,-1.181,0.305,-1.253
"40",-1.043,-1.181,0.305,-1.253
"41",-1.043,-1.181,0.305,-1.253
"42",-1.043,-1.181,0.305,-1.253
"43",-1.043,-1.181,0.305,-1.253
"44",-1.043,-1.181,0.305,-1.253
"45",-1.043,-1.181,0.305,-1.253
"46",-1.043,-1.181,0.305,-1.253
"47",-1.043,-1.181,0.305,-1.253
"48",-1.043,-1.181,0.305,-1.253
"49",-1.043,-1.181,0.305,-1.253
"50",-1.043,-1.181,0.305,-1.253
"51",-1.043,-1.181,0.305,-1.253
"52",-1.043,-1.181,0.305,-1.253
"53",-1.043,-1.181,0.305,-1.253
"54",-1.043,-1.181,0.305,-1.253
"55",-1.043,-1.181,0.305,-1.253
"56",-1.043,-1.181,0.305,-1.253
"57",-1.043,-1.181,0.305,-1.253
"58",-1.043,-1.181,0.305,-1.253
"59",-1.043,-1.181,0.305,-1.253
"60",-1.043,-1.181,0.305,-1.253
"61",-1.043,-1.181,0.305,-1.253
"62",-1.043,-1.181,0.305,-1.253
"63",-1.043,-1.181,0.305,-1.253
"64",-1.043,-1.181,0.305,-1.253
"65",-1.043,-1.181,0.305,-1.253
"66",-1.043,-1.181,0.305,-1.253
"67",-1.043,-1.181,0.305,-1.253
"68",-1.043,-1.181,0.305,-1.253
"69",-1.043,-1.181,0.305,-1.253
"70",-1.043,-1.181,-1.565,-1.253
"71",-1.043,-1.181,-1.565,-1.253
"72",-1.043,-1.181,-0.748,-1.253
"73",-1.043,-1.181,-0.748,-1.253
"74",-1.043,-1.181,-0.748,-1.253
"75",-1.043,-1.181,-0.748,-1.253
"76",-1.043,-1.181,-0.748,-1.253
"77",-1.043,-1.181,-0.748,-1.253
"78",-1.043,-1.181,-0.748,-1.253
"79",-1.043,-1.181,-0.748,-1.253
"80",-1.043,-1.181,-0.546,-1.253
"81",-1.043,-1.181,-0.546,-1.253
"82",-1.043,-1.181,-0.546,-1.253
"83",-1.043,-1.181,-0.546,-1.253
"84",-1.043,-1.181,-0.546,-1.253
"85",-1.043,-1.181,-0.546,-1.253
"86",-1.043,-1.181,-0.546,-1.253
"87",-1.043,-1.181,-0.546,-1.253
"88",-1.043,-1.181,-0.546,-1.253
"89",-1.043,-1.181,-0.546,-1.253
"90",-1.043,-1.181,-0.546,-1.253
"91",-1.043,-1.181,-0.546,-1.253
"92",-1.043,-1.181,-0.546,-1.253
"93",-1.043,-1.181,-0.546,-1.253
"94",-1.043,-1.181,-0.546,-1.253
"95",-1.043,-1.181,-0.546,-1.253
"96",-1.043,-1.181,-0.546,-1.253
"97",-1.043,-1.181,-0.546,-1.253
"98",-1.043,-1.181,-0.546,-1.253
"99",-1.043,-1.181,-0.546,-1.253
"100",-1.043,-1.181,-0.546,-1.253
"101",-1.043,-1.181,-0.546,-1.253
"102",-1.043,-1.181,-0.546,-1.253
"103",-1.043,-1.181,-0.546,-1.253
"104",-1.043,-1.181,-0.546,-1.253
"105",-1.043,-1.181,-0.546,-1.253
"106",-1.043,-1.181,-0.546,-1.253
"107",-1.043,-1.181,-0.546,-1.253
"108",-1.043,-1.181,-0.546,-1.253
"109",-1.043,-1.181,-0.546,-1.253
"110",-1.043,-1.181,-0.546,-1.253
"111",-1.043,-1.181,-0.546,-1.253
"112",-1.043,-1.181,-0.546,-1.253
"113",-1.043,-1.181,-0.546,-1.253
"114",-1.043,-1.181,-0.546,-1.253
"115",-1.043,-1.181,-0.546,-1.253
"116",-1.043,-1.181,-0.546,-1.253
"117",-1.043,-1.181,-0.546,-1.253
"118",-1.043,-1.181,-0.546,-1.253
"119",-1.043,-1.181,-0.546,-1.253
"120",-1.043,-1.181,-0.546,-1.253
"121",-1.043,-1.181,-0.546,-1.253
"122",-1.043,-1.122,-0.861,-1.444
"123",-1.043,-1.122,-1.928,-1.301
"124",-1.043,-1.122,-1.928,-1.301
