"","county_name","state","dem_votes","rep_votes","county_total_votes","rep_share"
"1","A1","ALASKA",131199,149779,280978,0.533063086789713
"2","R1","RHODE ISLAND",138,2,140,0.0142857142857143
"3","ABBEVILLE","SOUTH CAROLINA",2943,5544,8487,0.653234358430541
"4","ACADIA","LOUISIANA",3828,16376,20204,0.810532567808355
"5","ACCOMACK","VIRGINIA",5729,7025,12754,0.550807589775757
"6","ADA","IDAHO",86193,95068,181261,0.524481272860682
"7","ADAIR","IOWA",1067,2205,3272,0.673899755501222
"8","ADAIR","KENTUCKY",1273,5624,6897,0.815426997245179
"9","ADAIR","MISSOURI",2883,5549,8432,0.658088235294118
"10","ADAIR","OKLAHOMA",1529,3362,4891,0.687384992843999
"11","ADAMS","COLORADO",97026,66401,163427,0.406303731941478
"12","ADAMS","IDAHO",427,1291,1718,0.751455180442375
"13","ADAMS","ILLINOIS",5972,18421,24393,0.755175665149838
"14","ADAMS","INDIANA",2842,8322,11164,0.745431744894303
"15","ADAMS","IOWA",518,1152,1670,0.689820359281437
"16","ADAMS","MISSISSIPPI",6156,4535,10691,0.424188569825087
"17","ADAMS","NEBRASKA",3032,7171,10203,0.702832500245026
"18","ADAMS","NORTH DAKOTA",236,878,1114,0.788150807899461
"19","ADAMS","OHIO",1817,6810,8627,0.789382172249913
"20","ADAMS","PENNSYLVANIA",13291,25596,38887,0.65821482757734
"21","ADAMS","WASHINGTON",1104,3116,4220,0.738388625592417
"22","ADAMS","WISCONSIN",4518,4752,9270,0.512621359223301
"23","ADDISON","VERMONT",12269,4186,16455,0.254390762686114
"24","AIKEN","SOUTH CAROLINA",21760,37338,59098,0.631798030390199
"25","AITKIN","MINNESOTA",3401,4466,7867,0.567687809838566
"26","ALACHUA","FLORIDA",70937,43579,114516,0.380549442872612
"27","ALAMANCE","NORTH CAROLINA",24952,31476,56428,0.557808180336003
"28","ALAMEDA","CALIFORNIA",457183,70327,527510,0.133318799643609
"29","ALAMOSA","COLORADO",2875,2977,5852,0.508714969241285
"30","ALBANY","WYOMING",7509,5868,13377,0.438663377438888
"31","ALBEMARLE","VIRGINIA",34409,18807,53216,0.353408749248346
"32","ALCONA","MICHIGAN",1727,3721,5448,0.683002936857562
"33","ALCORN","MISSISSIPPI",1908,8233,10141,0.811852874469973
"34","ALEXANDER","ILLINOIS",1099,1084,2183,0.496564360971141
"35","ALEXANDER","NORTH CAROLINA",3359,10484,13843,0.757350285342772
"36","ALEXANDRIA CITY","VIRGINIA",52006,13569,65575,0.206923370186809
"37","ALFALFA","OKLAHOMA",248,1547,1795,0.861838440111421
"38","ALGER","MICHIGAN",1915,2211,4126,0.535870092098885
"39","ALLAMAKEE","IOWA",2353,3073,5426,0.566347217102838
"40","ALLEGAN","MICHIGAN",18080,28763,46843,0.614029844373759
"41","ALLEGANY","MARYLAND",7393,14851,22244,0.66764071210214
"42","ALLEGANY","NEW YORK",13504,1126,14630,0.0769651401230349
"43","ALLEGHANY","NORTH CAROLINA",1209,3359,4568,0.735332749562172
"44","ALLEGHANY","VIRGINIA",1892,3563,5455,0.653162236480293
"45","ALLEGHENY","PENNSYLVANIA",377782,102697,480479,0.213738789832646
